id,matches_played,goals_scored,total_yellow_cards,total_red_cards,tournaments_participated,team_id,family_name,given_name,role,matches_managed,matches_officiated,award_name
P-02430,3.0,0.0,0.0,0.0,1,T-41,Mussi,Roberto,Defender,,,
P-02455,0.0,0.0,0.0,0.0,0,,Robe,Corneliu,Midfielder,,,
P-02461,1.0,0.0,1.0,0.0,1,T-46,Castro,Israel,Midfielder,,,
P-02464,9.0,36.0,4.0,0.0,2,T-03,Valdano,Jorge,Forward,,,
P-02465,12.0,12.0,3.0,0.0,2,T-28,Maguire,Harry,Defender,,,
P-02493,9.0,0.0,0.0,0.0,2,T-57,Matysik,Waldemar,Midfielder,,,
P-02525,1.0,0.0,0.0,0.0,1,T-51,Kim,Yong-jun,Midfielder,,,
P-02556,3.0,0.0,1.0,0.0,1,T-17,Contreras,Anthony,Forward,,,
P-02559,2.0,0.0,0.0,0.0,1,T-37,Skúlason,Ari Freyr,Defender,,,
P-02595,2.0,0.0,0.0,0.0,1,T-44,Usami,Takashi,Midfielder,,,
P-02609,2.0,0.0,0.0,0.0,1,T-71,Kim,Min-woo,Defender,,,
P-02636,0.0,0.0,0.0,0.0,0,,Booth,Melanie,Defender,,,
P-02652,5.0,5.0,0.0,0.0,1,T-74,Johansson,Ingrid,Midfielder,,,
P-02662,2.0,0.0,0.0,0.0,1,T-84,Zubia,Oscar,Forward,,,
P-02668,1.0,0.0,1.0,0.0,1,T-84,Pintos Saldanha,José,Defender,,,
P-02673,0.0,0.0,0.0,0.0,0,,Diallo,Omar,Goalkeeper,,,
P-02675,8.0,16.0,0.0,0.0,3,T-28,Robson,Bryan,Midfielder,,,
P-02679,0.0,0.0,0.0,0.0,0,,Rodebaugh,Andrea,Midfielder,,,
P-02688,9.0,18.0,2.0,0.0,2,T-14,Zhou,Yang,Midfielder,,,
P-02695,2.0,0.0,0.0,0.0,1,T-22,Frandsen,Per,Midfielder,,,
P-02698,0.0,0.0,0.0,0.0,0,,Oceguera,Gina,Defender,,,
P-02702,0.0,0.0,0.0,0.0,0,,Pavlovici,Dumitru,Goalkeeper,,,
P-02755,0.0,0.0,0.0,0.0,0,,Al-Taifi,Yassir,Defender,,,
P-02759,1.0,0.0,0.0,0.0,1,T-11,Ebosse,Enzo,Defender,,,
P-02778,1.0,0.0,0.0,0.0,1,T-79,Khalifa,Saber,Forward,,,
P-02795,5.0,0.0,0.0,0.0,1,T-09,Dida,not applicable,Goalkeeper,,,
P-02802,2.0,0.0,0.0,0.0,1,T-31,Dallmann,Linda,Midfielder,,,
P-02805,3.0,0.0,0.0,0.0,1,T-11,Abega,Théophile,Midfielder,,,
P-02839,2.0,0.0,0.0,0.0,1,T-25,Rodríguez,Kevin,Forward,,,
P-02842,9.0,0.0,4.0,0.0,3,T-83,Pope,Eddie,Defender,,,
P-02848,0.0,0.0,0.0,0.0,0,,Ben Tifour,Abdelaziz,Forward,,,
P-02853,2.0,0.0,0.0,0.0,1,T-71,Kim,Do-hoon,Forward,,,
P-02858,0.0,0.0,0.0,0.0,0,,Zetti,not applicable,Goalkeeper,,,
P-02863,0.0,0.0,0.0,0.0,0,,Paredes,Elioro,Defender,,,
P-02875,0.0,0.0,0.0,0.0,0,,Brusca,Carmen,Defender,,,
P-02886,3.0,0.0,0.0,0.0,1,T-54,Torres,Román,Defender,,,
P-02900,4.0,0.0,0.0,0.0,1,T-75,Geiger,Alain,Defender,,,
P-02901,4.0,0.0,0.0,0.0,1,T-73,Francisco,not applicable,Midfielder,,,
P-02903,5.0,0.0,1.0,0.0,1,T-41,Linari,Elena,Defender,,,
P-02909,2.0,2.0,0.0,0.0,1,T-38,Bakhtiarizadeh,Sohrab,Defender,,,
P-02919,0.0,0.0,0.0,0.0,0,,Zelenika,Oliver,Goalkeeper,,,
P-02921,7.0,0.0,1.0,0.0,2,T-74,Ilestedt,Amanda,Defender,,,
P-02932,0.0,0.0,0.0,0.0,0,,Vukojević,Ognjen,Midfielder,,,
P-02947,2.0,0.0,1.0,0.0,1,T-71,Lee,Seung-woo,Midfielder,,,
P-02950,3.0,0.0,0.0,0.0,1,T-49,Pullen,Deborah,Midfielder,,,
P-02965,9.0,0.0,0.0,0.0,2,T-09,Piazza,not applicable,Midfielder,,,
P-02974,3.0,0.0,0.0,0.0,1,T-09,Hernanes,not applicable,Midfielder,,,
P-02977,2.0,2.0,1.0,0.0,1,T-06,Van der Heyden,Peter,Defender,,,
P-02986,0.0,0.0,0.0,0.0,0,,Kristensson,Krister,Defender,,,
P-03000,1.0,0.0,0.0,0.0,1,T-58,António,José,Defender,,,
P-03013,3.0,3.0,0.0,0.0,1,T-48,van Nistelrooy,Ruud,Forward,,,
P-03026,6.0,6.0,0.0,0.0,1,T-31,Bode,Marco,Midfielder,,,
P-03038,2.0,0.0,0.0,0.0,1,T-06,Strupar,Branko,Forward,,,
P-03044,0.0,0.0,0.0,0.0,0,,Lodygin,Yuri,Goalkeeper,,,
P-03048,2.0,0.0,0.0,0.0,1,T-63,Abdullah,Majed,Forward,,,
P-03089,0.0,2.0,0.0,0.0,1,,Jeppson,Hasse,Forward,,,
